id,code,slug,name,category,price,specifications_text,specifications_json,images,webp_images
ap-7021,AP7021,ap-7021-arc-shape-table,ARC Shape Table,Premium,18990,details: Dimensions & Materials | Desk: | L132 × W60 × H59-90 cm | Chair: | L43 × W45 × H43 cm,"{""details"":[""Dimensions & Materials"",""Desk:"",""L132 × W60 × H59-90 cm"",""Chair:"",""L43 × W45 × H43 cm""]}",/catalogue/premium/lf-7021/cover.jpg,/catalogue-webp/premium/lf-7021/cover.webp
ap-7022,AP7022,ap-7022-rectangular-shape-table,Rectangular Shape Table,Premium,13990,details: Dimensions & Materials | Desk: | L80 × W60 × H59-90 cm | Chair: | L43 × W45 × H43 cm,"{""details"":[""Dimensions & Materials"",""Desk:"",""L80 × W60 × H59-90 cm"",""Chair:"",""L43 × W45 × H43 cm""]}",/catalogue/premium/lf-7022/cover.jpg,/catalogue-webp/premium/lf-7022/cover.webp
ap-7023,AP7023,ap-7023-triangle-shape-table,Triangle Shape Table,Premium,13990,details: Dimensions & Materials | Desk: | L132 × W60 × H59-90 cm | Chair: | L43 × W45 × H43 cm,"{""details"":[""Dimensions & Materials"",""Desk:"",""L132 × W60 × H59-90 cm"",""Chair:"",""L43 × W45 × H43 cm""]}",/catalogue/premium/lf-7023/cover.jpg,/catalogue-webp/premium/lf-7023/cover.webp
ap-0431,AP0431,ap-0431-dual-seating-desk,Dual Seating Desk,"Primary , Middle & High Classes",9990,"details: Dimensions & Materials | Desk: | L110 × W40 × H64, 70 & 75 cm | Chair: | L110 × W30 × H38, 42 & 44 cm | AGE GROUP | CLASS | AVG SIZE | Desk: 58-70cm | Chair: 34-40cm | Desk: 70-74cm | Chair: 42-45cm | Desk: 75-76cm | Chair: 44-46cm","{""details"":[""Dimensions & Materials"",""Desk:"",""L110 × W40 × H64, 70 & 75 cm"",""Chair:"",""L110 × W30 × H38, 42 & 44 cm"",""AGE GROUP"",""CLASS"",""AVG SIZE"",""Desk: 58-70cm"",""Chair: 34-40cm"",""Desk: 70-74cm"",""Chair: 42-45cm"",""Desk: 75-76cm"",""Chair: 44-46cm""]}",/catalogue/primary-middle-and-high-classes/lf-0431/cover.jpg,/catalogue-webp/primary-middle-and-high-classes/lf-0431/cover.webp
ap-0447,AP0447,ap-0447-dual-seating-desk,Dual Seating Desk,"Primary , Middle & High Classes",10990,details: Dimensions & Materials | Desk: | L110 × W40 × H64-76 cm | Chair: | L43 × W43 × H38-46 cm | AGE GROUP | CLASS | AVG SIZE | Desk: 58-70cm | Chair: 34-40cm | Desk: 70-74cm | Chair: 42-45cm | Desk: 75-76cm | Chair: 44-46cm,"{""details"":[""Dimensions & Materials"",""Desk:"",""L110 × W40 × H64-76 cm"",""Chair:"",""L43 × W43 × H38-46 cm"",""AGE GROUP"",""CLASS"",""AVG SIZE"",""Desk: 58-70cm"",""Chair: 34-40cm"",""Desk: 70-74cm"",""Chair: 42-45cm"",""Desk: 75-76cm"",""Chair: 44-46cm""]}",/catalogue/primary-middle-and-high-classes/lf-0447/cover.jpg,/catalogue-webp/primary-middle-and-high-classes/lf-0447/cover.webp
ap-0448,AP0448,ap-0448-single-seating-desk,Single Seating Desk,"Primary , Middle & High Classes",6490,details: Dimensions & Materials | Desk: | L60 × W40 × H64-76 cm | Chair: | L43 × W43 × H38-46 cm | AGE GROUP | CLASS | AVG SIZE | Desk: 58-70cm | Chair: 34-40cm | Desk: 70-74cm | Chair: 42-45cm | Desk: 75-76cm | Chair: 44-46cm,"{""details"":[""Dimensions & Materials"",""Desk:"",""L60 × W40 × H64-76 cm"",""Chair:"",""L43 × W43 × H38-46 cm"",""AGE GROUP"",""CLASS"",""AVG SIZE"",""Desk: 58-70cm"",""Chair: 34-40cm"",""Desk: 70-74cm"",""Chair: 42-45cm"",""Desk: 75-76cm"",""Chair: 44-46cm""]}",/catalogue/primary-middle-and-high-classes/lf-0448/cover.jpg,/catalogue-webp/primary-middle-and-high-classes/lf-0448/cover.webp
ap-0429,AP0429,ap-0429-dual-seater-desk,Dual Seater Desk,Middle & High Classes,16990,details: Dimensions & Materials | Desk: | L120 × W50 × H76 cm | High-quality wooden top & metal frame | Chair: | L38 × W40 × H46 cm | High-quality Plastic & metal frame | AGE GROUP | CLASS | AVG SIZE | Desk: 75-76cm | Chair: 44-46cm,"{""details"":[""Dimensions & Materials"",""Desk:"",""L120 × W50 × H76 cm"",""High-quality wooden top & metal frame"",""Chair:"",""L38 × W40 × H46 cm"",""High-quality Plastic & metal frame"",""AGE GROUP"",""CLASS"",""AVG SIZE"",""Desk: 75-76cm"",""Chair: 44-46cm""]}",/catalogue/middle-and-high-classes/lf-0429/cover.jpg,/catalogue-webp/middle-and-high-classes/lf-0429/cover.webp
ap-0235,AP0235,ap-0235-single-desk,Single Desk,Middle & High Classes,8490,details: Single-Seater Desk with Wire Storage & | Dimensions & Materials | Desk: | L60 × W40 × H76 cm | High-quality wooden top & metal frame | Chair: | L38 × W40 × H46 cm | High-quality Plastic & metal frame | AGE GROUP | CLASS | AVG SIZE | Desk: 75-76cm | Chair: 44-46cm | Frame: Heavy-duty metal structure with Plastic bushes for ﬂoor protection and noise reduction,"{""details"":[""Single-Seater Desk with Wire Storage &"",""Dimensions & Materials"",""Desk:"",""L60 × W40 × H76 cm"",""High-quality wooden top & metal frame"",""Chair:"",""L38 × W40 × H46 cm"",""High-quality Plastic & metal frame"",""AGE GROUP"",""CLASS"",""AVG SIZE"",""Desk: 75-76cm"",""Chair: 44-46cm"",""Frame: Heavy-duty metal structure with Plastic bushes for ﬂoor protection and noise reduction""]}",/catalogue/middle-and-high-classes/lf-0235/cover.jpg,/catalogue-webp/middle-and-high-classes/lf-0235/cover.webp
ap-0405,AP0405,ap-0405-dual-seating-desk-adjustable,Dual Seating Desk (Adjustable),Middle & High Classes,9490,details: Dimensions & Materials | Desk: | L110 × W40 x H60-76cm | H 60 / 64 / 67 / 70 / 73 / 76 cm | Chair: | L36 × W40 x 36-42cm | H 36 / 39 / 42 cm | AGE GROUP | CLASS | AVG SIZE | Desk: 75-76cm | Chair: 44-46cm | Frame: Heavy-duty metal structure with Plastic bushes for ﬂoor protection and noise reduction,"{""details"":[""Dimensions & Materials"",""Desk:"",""L110 × W40 x H60-76cm"",""H 60 / 64 / 67 / 70 / 73 / 76 cm"",""Chair:"",""L36 × W40 x 36-42cm"",""H 36 / 39 / 42 cm"",""AGE GROUP"",""CLASS"",""AVG SIZE"",""Desk: 75-76cm"",""Chair: 44-46cm"",""Frame: Heavy-duty metal structure with Plastic bushes for ﬂoor protection and noise reduction""]}",/catalogue/middle-and-high-classes/lf-0405/cover.jpg,/catalogue-webp/middle-and-high-classes/lf-0405/cover.webp
ap-0406,AP0406,ap-0406-dual-seating-desk-adjustable,Dual Seating Desk (Adjustable),Middle & High Classes,9490,details: Dimensions & Materials | Desk: | L120 × W45 × H60-78cm | H 60 / 63 / 66 / 69 / 72 / 75 / 78 cm | Chair: | L36 × W38 x H36-42cm | H 36 / 39 / 42 cm | AGE GROUP | AVG SIZE | CLASS | Desk: 70-74cm | Chair: 42-45cm | Frame: Heavy-duty metal structure with Plastic bushes for ﬂoor protection and noise reduction,"{""details"":[""Dimensions & Materials"",""Desk:"",""L120 × W45 × H60-78cm"",""H 60 / 63 / 66 / 69 / 72 / 75 / 78 cm"",""Chair:"",""L36 × W38 x H36-42cm"",""H 36 / 39 / 42 cm"",""AGE GROUP"",""AVG SIZE"",""CLASS"",""Desk: 70-74cm"",""Chair: 42-45cm"",""Frame: Heavy-duty metal structure with Plastic bushes for ﬂoor protection and noise reduction""]}",/catalogue/middle-and-high-classes/lf-0406/cover.jpg,/catalogue-webp/middle-and-high-classes/lf-0406/cover.webp
